t,x,y,z,psi
0,0,0,1,0
1,-0.00283259989493145,0.0531467428236827,1,0
2,-0.0112983050910667,0.105691311814812,1,0
3,-0.0253011957658094,0.157038356010974,1,0
4,-0.0446826135725434,0.206606092884189,1,0
5,-0.069222959303097,0.25383290016942,1,0
6,-0.0986441810345182,0.298183679269251,1,0
7,-0.132612924568466,0.339155918134808,1,0
8,-0.170744310467481,0.376285384928069,1,0
9,-0.212606294892797,0.409151387954085,1,0
10,-0.257724564833675,0.437381542265981,1,0
11,-0.30558791226334,0.460655988935206,1,0
12,-0.355654026330189,0.478711019181003,1,0
13,-0.407355637956443,0.49134206229626,1,0
14,-0.460106947223458,0.498406003515375,1,0
15,-0.513310260718887,0.499822805561726,1,0
16,-0.566362763641861,0.495576415502004,1,0
17,-0.618663349935557,0.485714946632355,1,0
18,-0.669619433059015,0.470350133335517,1,0
19,-0.718653660229428,0.44965606508561,1,0
20,-0.765210454059871,0.423867213944835,1,0
21,-0.808762307473096,0.393275777901321,1,0
22,-0.848815760567492,0.358228370149158,1,0
23,-0.884916991714953,0.31912209182241,1,0
24,-0.916656959541257,0.276400032680597,1,0
25,-0.943676037528286,0.230546250724663,1,0
26,-0.965668088726169,0.182080287626411,1,0
27,-0.982383934407258,0.131551282113761,1,0
28,-0.993634177360672,0.079531748009536,1,0
29,-0.999291347838381,0.0266110874210894,1,0
30,-0.999291347838381,-0.0266110874210894,1,0
31,-0.993634177360672,-0.079531748009536,1,0
32,-0.982383934407258,-0.131551282113761,1,0
33,-0.965668088726169,-0.182080287626411,1,0
34,-0.943676037528286,-0.230546250724663,1,0
35,-0.916656959541257,-0.276400032680597,1,0
36,-0.884916991714953,-0.31912209182241,1,0
37,-0.848815760567492,-0.358228370149158,1,0
38,-0.808762307473096,-0.393275777901321,1,0
39,-0.765210454059871,-0.423867213944836,1,0
40,-0.718653660229428,-0.44965606508561,1,0
41,-0.669619433059015,-0.470350133335517,1,0
42,-0.618663349935557,-0.485714946632355,1,0
43,-0.566362763641861,-0.495576415502004,1,0
44,-0.513310260718887,-0.499822805561726,1,0
45,-0.460106947223458,-0.498406003515375,1,0
46,-0.407355637956443,-0.49134206229626,1,0
47,-0.355654026330189,-0.478711019181003,1,0
48,-0.30558791226334,-0.460655988935206,1,0
49,-0.257724564833675,-0.437381542265981,1,0
50,-0.212606294892797,-0.409151387954085,1,0
51,-0.170744310467481,-0.376285384928069,1,0
52,-0.132612924568466,-0.339155918134808,1,0
53,-0.0986441810345182,-0.298183679269251,1,0
54,-0.0692229593030969,-0.25383290016942,1,0
55,-0.0446826135725435,-0.206606092884189,1,0
56,-0.0253011957658094,-0.157038356010974,1,0
57,-0.0112983050910667,-0.105691311814812,1,0
58,-0.00283259989493145,-0.0531467428236829,1,0
59,0,0,1,0
